Plot,X,Y
Metadata,518,Gallery
Metadata,698,Probe
Metadata,698,Genuine
Metadata,360866,Impostor
Metadata,0,Ignored
FRR,-0.280275,0.00393723
IET,0.157905,0.842095
DET,1.59369e-05,0.70666
FAR,3.21548,1.59369e-05
FRR,-0.27994,0.00399211
IET,0.158636,0.841364
DET,1.63843e-05,0.706429
FAR,3.21425,1.63843e-05
FRR,-0.279601,0.00404776
IET,0.159369,0.840631
DET,1.68443e-05,0.706079
FAR,3.21234,1.68443e-05
FRR,-0.279257,0.00410418
IET,0.160106,0.839894
DET,1.73172e-05,0.70559
FAR,3.20965,1.73172e-05
FRR,-0.278908,0.00416139
IET,0.160847,0.839153
DET,1.78033e-05,0.705087
FAR,3.20688,1.78033e-05
FRR,-0.278555,0.0042194
IET,0.161591,0.838409
DET,1.83031e-05,0.70457
FAR,3.20403,1.83031e-05
FRR,-0.278196,0.00427821
IET,0.162338,0.837662
DET,1.88169e-05,0.704039
FAR,3.2011,1.88169e-05
FRR,-0.276803,0.00433785
IET,0.163089,0.836911
DET,1.93452e-05,0.703493
FAR,3.19809,1.93452e-05
FRR,-0.274873,0.00439832
IET,0.163843,0.836157
DET,1.98883e-05,0.702931
FAR,3.19704,1.98883e-05
FRR,-0.272918,0.00445963
IET,0.164601,0.835399
DET,2.04466e-05,0.702354
FAR,3.19618,2.04466e-05
FRR,-0.270934,0.00452179
IET,0.165362,0.834638
DET,2.10206e-05,0.70176
FAR,3.1953,2.10206e-05
FRR,-0.268922,0.00458482
IET,0.166127,0.833873
DET,2.16107e-05,0.70115
FAR,3.1944,2.16107e-05
FRR,-0.266883,0.00464873
IET,0.166896,0.833104
DET,2.22174e-05,0.700448
FAR,3.19294,2.22174e-05
FRR,-0.264816,0.00471354
IET,0.167668,0.832332
DET,2.28411e-05,0.698835
FAR,3.18514,2.28411e-05
FRR,-0.26272,0.00477924
IET,0.168443,0.831557
DET,2.34823e-05,0.697178
FAR,3.17712,2.34823e-05
FRR,-0.260594,0.00484586
IET,0.169222,0.830778
DET,2.41416e-05,0.695474
FAR,3.16887,2.41416e-05
FRR,-0.258439,0.00491341
IET,0.170005,0.829995
DET,2.48193e-05,0.693722
FAR,3.16039,2.48193e-05
FRR,-0.256254,0.0049819
IET,0.170791,0.829209
DET,2.55161e-05,0.693112
FAR,3.15622,2.55161e-05
FRR,-0.254038,0.00505134
IET,0.171581,0.828419
DET,2.62324e-05,0.692742
FAR,3.1529,2.62324e-05
