Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
DET,8.91045e-06,0.998934
FAR,-7.96901,8.91045e-06
FRR,-9.66455,0.0004298
IET,0.00298504,0.999032
DET,9.16059e-06,0.99893
FAR,-7.96966,9.16059e-06
FRR,-9.66455,0.000437807
IET,0.00302665,0.999019
DET,9.41777e-06,0.998925
FAR,-7.97031,9.41777e-06
FRR,-9.66455,0.000445963
IET,0.00306884,0.999005
DET,9.68215e-06,0.998921
FAR,-7.97099,9.68215e-06
FRR,-9.66455,0.000454271
IET,0.00311162,0.998991
DET,9.95396e-06,0.998916
FAR,-7.97169,9.95396e-06
FRR,-9.66455,0.000462733
IET,0.00315499,0.998977
DET,1.02334e-05,0.998911
FAR,-7.9724,1.02334e-05
FRR,-9.66455,0.000471354
IET,0.00319897,0.998963
DET,1.05207e-05,0.998906
FAR,-7.97314,1.05207e-05
FRR,-9.66455,0.000480134
IET,0.00324356,0.998949
DET,1.0816e-05,0.998901
FAR,-7.97389,1.0816e-05
FRR,-9.66455,0.000489079
IET,0.00328877,0.998934
DET,1.11197e-05,0.998896
FAR,-7.97467,1.11197e-05
FRR,-9.66455,0.00049819
IET,0.00333462,0.998919
DET,1.14318e-05,0.99889
FAR,-7.97547,1.14318e-05
FRR,-9.66455,0.000507471
IET,0.0033811,0.998904
DET,1.17528e-05,0.998885
FAR,-7.97629,1.17528e-05
FRR,-9.66455,0.000516924
IET,0.00342823,0.998889
DET,1.20827e-05,0.998879
FAR,-7.97714,1.20827e-05
FRR,-9.66455,0.000526554
IET,0.00347602,0.998873
DET,1.24219e-05,0.998873
FAR,-7.978,1.24219e-05
FRR,-9.66455,0.000536363
IET,0.00352447,0.998857
DET,1.27706e-05,0.998867
FAR,-7.9789,1.27706e-05
FRR,-9.66455,0.000546355
IET,0.0035736,0.998842
DET,1.31291e-05,0.998861
FAR,-7.97981,1.31291e-05
FRR,-9.66455,0.000556533
IET,0.00362342,0.998825
DET,1.34977e-05,0.998855
FAR,-7.98076,1.34977e-05
FRR,-9.66455,0.000566901
IET,0.00367392,0.998809
DET,1.38766e-05,0.998848
FAR,-7.98173,1.38766e-05
FRR,-9.66455,0.000577461
IET,0.00372514,0.998792
DET,1.42662e-05,0.998842
FAR,-7.98272,1.42662e-05
FRR,-9.66455,0.000588219
IET,0.00377706,0.998776
DET,1.46667e-05,0.998835
FAR,-7.98375,1.46667e-05
FRR,-9.66455,0.000599177
IET,0.00382971,0.998758
DET,1.50784e-05,0.998828
FAR,-7.9848,1.50784e-05
FRR,-9.66455,0.000610339
IET,0.0038831,0.998741
DET,1.55017e-05,0.99882
FAR,-7.98589,1.55017e-05
FRR,-9.66455,0.000621709
IET,0.00393723,0.998724
DET,1.59369e-05,0.998813
FAR,-7.987,1.59369e-05
FRR,-9.66455,0.000633291
IET,0.00399211,0.998706
DET,1.63843e-05,0.998805
FAR,-7.98815,1.63843e-05
FRR,-9.66455,0.000645088
IET,0.00404776,0.998688
DET,1.68443e-05,0.998797
FAR,-7.98932,1.68443e-05
FRR,-9.66455,0.000657106
IET,0.00410418,0.99867
DET,1.73172e-05,0.998789
FAR,-7.99053,1.73172e-05
FRR,-9.66455,0.000669347
IET,0.00416139,0.998651
DET,1.78033e-05,0.998781
FAR,-7.99178,1.78033e-05
FRR,-9.66455,0.000681816
IET,0.0042194,0.998632
DET,1.83031e-05,0.998772
FAR,-7.99306,1.83031e-05
FRR,-9.66455,0.000694518
IET,0.00427821,0.998613
DET,1.88169e-05,0.998763
FAR,-7.99437,1.88169e-05
FRR,-9.66455,0.000707456
IET,0.00433785,0.998594
DET,1.93452e-05,0.998754
FAR,-7.99573,1.93452e-05
FRR,-9.66455,0.000720635
IET,0.00439832,0.998574
DET,1.98883e-05,0.998745
FAR,-7.99712,1.98883e-05
FRR,-9.66455,0.00073406
