Plot,X,Y
Metadata,6000,Gallery
Metadata,6000,Probe
Metadata,1041,Genuine
Metadata,358752,Impostor
Metadata,35640207,Ignored
FRR,-0.513108,0.000775853
IET,0.00464873,0.826856
DET,2.22174e-05,0.896268
FAR,1.93345,2.22174e-05
FRR,-0.513108,0.000790307
IET,0.00471354,0.826846
DET,2.28411e-05,0.89616
FAR,1.93313,2.28411e-05
FRR,-0.513108,0.000805029
IET,0.00477924,0.826835
DET,2.34823e-05,0.89605
FAR,1.9328,2.34823e-05
FRR,-0.513108,0.000820026
IET,0.00484586,0.826824
DET,2.41416e-05,0.895936
FAR,1.93247,2.41416e-05
FRR,-0.513108,0.000835302
IET,0.00491341,0.826813
DET,2.48193e-05,0.895819
FAR,1.93213,2.48193e-05
FRR,-0.513108,0.000850863
IET,0.0049819,0.826802
DET,2.55161e-05,0.895699
FAR,1.93178,2.55161e-05
FRR,-0.513108,0.000866714
IET,0.00505134,0.826791
DET,2.62324e-05,0.895576
FAR,1.93141,2.62324e-05
FRR,-0.513108,0.00088286
IET,0.00512175,0.82678
DET,2.69688e-05,0.895449
FAR,1.93104,2.69688e-05
FRR,-0.513108,0.000899307
IET,0.00519315,0.826768
DET,2.77259e-05,0.895319
FAR,1.93066,2.77259e-05
FRR,-0.513108,0.00091606
IET,0.00526554,0.826756
DET,2.85043e-05,0.895184
FAR,1.92605,2.85043e-05
FRR,-0.513108,0.000933125
IET,0.00533894,0.826744
DET,2.93045e-05,0.895047
FAR,1.9203,2.93045e-05
FRR,-0.513108,0.000950508
IET,0.00541336,0.826732
DET,3.01272e-05,0.894905
FAR,1.91438,3.01272e-05
FRR,-0.513108,0.000968215
IET,0.00548882,0.82672
DET,3.09729e-05,0.894759
FAR,1.9083,3.09729e-05
FRR,-0.513108,0.000986252
IET,0.00556533,0.826708
DET,3.18424e-05,0.894609
FAR,1.90205,3.18424e-05
FRR,-0.513108,0.00100463
IET,0.00564291,0.826695
DET,3.27363e-05,0.894455
FAR,1.89563,3.27363e-05
FRR,-0.513108,0.00102334
IET,0.00572157,0.826682
DET,3.36553e-05,0.894084
FAR,1.88875,3.36553e-05
FRR,-0.513108,0.0010424
IET,0.00580132,0.82667
DET,3.46002e-05,0.892944
FAR,1.88072,3.46002e-05
FRR,-0.513108,0.00106182
IET,0.00588219,0.826656
DET,3.55715e-05,0.891773
FAR,1.87247,3.55715e-05
FRR,-0.513108,0.0010816
IET,0.00596418,0.826643
DET,3.65701e-05,0.890568
FAR,1.86399,3.65701e-05
FRR,-0.513108,0.00110175
IET,0.00604732,0.82663
DET,3.75968e-05,0.88933
FAR,1.85526,3.75968e-05
FRR,-0.513108,0.00112228
IET,0.00613162,0.826616
DET,3.86522e-05,0.888057
FAR,1.8463,3.86522e-05
FRR,-0.513108,0.00114318
IET,0.00621709,0.826602
DET,3.97373e-05,0.887362
FAR,1.84222,3.97373e-05
FRR,-0.513108,0.00116448
IET,0.00630375,0.826588
DET,4.08528e-05,0.886978
FAR,1.84077,4.08528e-05
FRR,-0.513108,0.00118617
IET,0.00639162,0.826574
DET,4.19997e-05,0.886609
FAR,1.83944,4.19997e-05
FRR,-0.513108,0.00120827
IET,0.00648072,0.826559
DET,4.31788e-05,0.886365
FAR,1.83888,4.31788e-05
FRR,-0.513108,0.00123078
IET,0.00657106,0.826545
DET,4.4391e-05,0.886114
FAR,1.83831,4.4391e-05
FRR,-0.513108,0.00125371
IET,0.00666265,0.82653
DET,4.56371e-05,0.885856
FAR,1.83772,4.56371e-05
FRR,-0.513108,0.00127706
IET,0.00675553,0.826515
DET,4.69184e-05,0.885592
FAR,1.83712,4.69184e-05
FRR,-0.513108,0.00130085
IET,0.0068497,0.8265
DET,4.82355e-05,0.885319
FAR,1.83649,4.82355e-05
FRR,-0.513108,0.00132509
IET,0.00694518,0.826484
DET,4.95896e-05,0.885039
FAR,1.83585,4.95896e-05
FRR,-0.513108,0.00134977
IET,0.00704199,0.826468
DET,5.09817e-05,0.884751
FAR,1.83519,5.09817e-05
FRR,-0.513108,0.00137492
IET,0.00714015,0.826453
DET,5.24129e-05,0.884455
FAR,1.83452,5.24129e-05
FRR,-0.513108,0.00140053
IET,0.00723968,0.826436
DET,5.38844e-05,0.884151
FAR,1.83382,5.38844e-05
FRR,-0.513108,0.00142662
IET,0.0073406,0.82642
DET,5.53971e-05,0.883838
FAR,1.8331,5.53971e-05
FRR,-0.513108,0.0014532
IET,0.00744292,0.826403
DET,5.69522e-05,0.883558
FAR,1.83131,5.69522e-05
FRR,-0.513108,0.00148027
IET,0.00754667,0.826387
DET,5.85511e-05,0.883283
FAR,1.82914,5.85511e-05
FRR,-0.513108,0.00150784
IET,0.00765187,0.82637
DET,6.01948e-05,0.883
FAR,1.82692,6.01948e-05
FRR,-0.513108,0.00153593
IET,0.00775853,0.826352
DET,6.18847e-05,0.881838
FAR,1.82356,6.18847e-05
FRR,-0.513108,0.00156455
IET,0.00786668,0.826335
DET,6.36219e-05,0.878845
FAR,1.81792,6.36219e-05
FRR,-0.513108,0.00159369
IET,0.00797634,0.826317
DET,6.54081e-05,0.877108
FAR,1.81488,6.54081e-05
FRR,-0.513108,0.00162338
IET,0.00808753,0.826299
DET,6.72443e-05,0.875962
FAR,1.81226,6.72443e-05
FRR,-0.513108,0.00165362
IET,0.00820026,0.826281
DET,6.9132e-05,0.875311
FAR,1.80706,6.9132e-05
